Time;data1;data2
01/12/2019 23:17:20;16822.35546875;357.033850097656
01/12/2019 23:17:30;16808.740234375;357.002897644043
01/12/2019 23:17:40;16714.423828125;356.988272094727
01/12/2019 23:17:50;16704.05078125;356.981321716309
01/12/2019 23:18:00;16714.2734375;356.971624755859
01/12/2019 23:18:10;16661.431640625;356.992727661133
01/12/2019 23:18:20;16690.572265625;357.030958557129
01/12/2019 23:18:30;16653.1484375;357.033850097656
01/12/2019 23:18:40;16557.400390625;357.028631591797
01/12/2019 23:18:50;16684.943359375;357.038381958008
01/12/2019 23:19:00;16774.35546875;357.03134765625
01/12/2019 23:19:10;16737.078125;357.021734619141
01/12/2019 23:19:20;16747.53515625;357.021650695801
01/12/2019 23:19:30;16776.23828125;357.031111145019
01/12/2019 23:19:40;16837.314453125;357.033689880371
